video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
SP_R_Yoga_2,movenet,single,dim,175,175,0,0,1.000000,2275,1183,766,0.168139,0.179582,0.168139,0.336703,51.252261,51.283800,53.039800,19.521363,19.511335,
SP_T_DudukBerdiri_1,movenet,single,bright,122,122,0,0,1.000000,1464,89,1254,0.432216,0.425381,0.432216,0.856557,50.957465,51.160850,52.868600,19.638124,19.624210,
SP_T_DudukBerdiri_2,movenet,single,bright,134,134,0,0,1.000000,1608,36,1428,0.552090,0.556936,0.552090,0.888060,51.315493,51.304250,53.647600,19.502559,19.487292,
SP_T_Jongkok_1,movenet,single,bright,124,124,0,0,1.000000,1488,0,1377,0.515054,0.524784,0.515054,0.925403,52.042228,51.772250,55.257800,19.246544,19.215165,
SP_T_Jongkok_2,movenet,single,bright,145,145,0,0,1.000000,1740,9,1624,0.611078,0.608920,0.611078,0.933333,51.780465,51.527800,55.747200,19.334470,19.312302,
SP_T_PushUp_1,movenet,single,bright,124,124,0,0,1.000000,998,30,935,0.600967,0.609341,0.621266,0.936874,51.420635,51.401250,53.518600,19.465690,19.447445,
SP_T_PushUp_2,movenet,single,bright,128,128,0,0,1.000000,1190,160,794,0.348955,0.346746,0.350436,0.667227,51.513109,51.538100,53.394100,19.421511,19.412534,
SP_T_Yoga_1,movenet,single,bright,121,120,1,0,0.991736,1560,674,763,0.268632,0.193188,0.268632,0.489103,51.655687,51.427600,55.008500,19.379989,19.358953,
SP_T_Yoga_2,movenet,single,bright,226,226,0,0,1.000000,2938,114,2364,0.526589,0.504188,0.526589,0.804629,51.613346,51.594700,53.583200,19.389639,19.374834,
MP_R_DudukBerdiri_1,posenet,multi,dim,121,121,0,0,1.000000,1283,0,53,0.010218,0.004329,0.010116,0.041309,17.042390,15.787100,16.741300,63.834562,58.677216,
MP_R_DudukBerdiri_2,posenet,multi,dim,150,150,0,0,1.000000,1538,0,31,0.003448,0.000723,0.003381,0.020156,15.343619,15.568050,16.731900,65.440678,65.173674,
MP_R_Jongkok_1,posenet,multi,dim,126,126,0,0,1.000000,1512,0,65,0.007916,0.000876,0.007916,0.042989,15.253881,15.424200,16.556000,65.806692,65.557087,
MP_R_Jongkok_2,posenet,multi,dim,139,139,0,0,1.000000,1668,0,23,0.002131,0.000016,0.002131,0.013789,15.716092,15.594300,17.457000,64.186069,63.629049,
MP_R_PushUp_1,posenet,multi,dim,77,77,0,0,1.000000,557,0,52,0.031597,0.018569,0.032883,0.093357,15.599786,15.603700,17.243300,64.408953,64.103445,
MP_R_PushUp_2,posenet,multi,dim,91,91,0,0,1.000000,728,0,2,0.002006,0.000127,0.002006,0.002747,15.976148,16.124900,17.167100,62.854783,62.593310,
MP_R_Yoga_1,posenet,multi,dim,182,182,0,0,1.000000,2361,0,45,0.004711,0.000729,0.004717,0.019060,16.395092,16.465750,18.334600,61.511894,60.993864,
MP_R_Yoga_2,posenet,multi,dim,173,173,0,0,1.000000,2249,0,235,0.041086,0.030347,0.041086,0.104491,15.445815,15.414300,17.196100,65.085462,64.742456,
MP_T_DudukBerdiri_1,posenet,multi,bright,148,148,0,0,1.000000,1771,0,50,0.006205,0.000090,0.006161,0.028233,15.828650,16.015800,17.417900,63.461256,63.176582,
MP_T_DudukBerdiri_2,posenet,multi,bright,145,145,0,0,1.000000,1697,0,46,0.006918,0.000542,0.007061,0.027107,15.891274,16.037300,17.504200,63.282067,62.927618,
